collection_id,collection_title,product_title,vendor,type,product_id,product_url,variant_id,variant_title,untranslated_variant_title,sku,price_amount,currency,image_url
56852611147,All,BlackToe Unisex Limited Edition Tee,BlackToe Running Inc.,Men's Tops,7232923074635,https://www.blacktoerunning.com/products/blacktoe-unisex-limited-edition-tee,41061987418187,Vintage Black & Shiny Black / Extra Small,Vintage Black & Shiny Black / Extra Small,BTCC-LET-VB&SB-XS,55.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/BlackToeLimitedEditionTee-VintageBlack_ShinyBlack12.jpg?v=1728598523
56852611147,All,BlackToe Unisex Classic Crew Sweatshirt,BlackToe Running Inc.,Men's Tops,7232748191819,https://www.blacktoerunning.com/products/blacktoe-unisex-classic-crew-sweatshirt,41061928140875,Grey Sage & Cream / Extra Small,Grey Sage & Cream / Extra Small,BTCC-CC-GS&C-XS,120.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/BlackToe_Classic_Crew_Sweatshirt_-_Grey_Sage_Cream_1.jpg?v=1728575452
56852611147,All,BlackToe x Ciele Decade of Movement GOCap,BlackToe Running Inc.,Headwear,7220836499531,https://www.blacktoerunning.com/products/blacktoe-x-ciele-decade-of-movement-gocap,41038604009547,Default Title,Default Title,CLCLBC-BTR-DG001,55.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/BlackToe_x_Ciele_Decade_of_Movement_GOCap.jpg?v=1727387759
56852611147,All,Nike Women's Dri-FIT Swift Element UV,Nike,Women's Tops,7180480381003,https://www.blacktoerunning.com/products/nike-womens-dri-fit-swift-element-uv,40927275876427,Denim Turq / Extra Small,Denim Turq / Extra Small,FB4297-464,75.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/FB4297-464-8.jpg?v=1721171362
56852611147,All,New Balance Men's Athletics Heat Pocket Tight,New Balance,Men's Bottoms,7201478803531,https://www.blacktoerunning.com/products/new-balance-mens-athletics-heat-pocket-tight,40993964916811,Black / Small,Black / Small,MP43257-BK,120.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/MP43257-BK-5.jpg?v=1735590224
56852611147,All,Asics Women's Magic Speed 4,Asics,Women's Shoes,7124709376075,https://www.blacktoerunning.com/products/asics-womens-magic-speed-4,41239544692811,Soothing Sea & Black / 6,Soothing Sea & Black / 6,1012B676-400,220.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/1012B676-400.jpg?v=1738362545
56852611147,All,Nike Men's Windrunner Repel Jacket,Nike,Men's Tops,6849933377611,https://www.blacktoerunning.com/products/nike-mens-windrunner-repel-jacket,40055262838859,Black / Small,Black / Small,FB7540-010,150.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/FB7540-010_5.png?v=1692751644
56852611147,All,On Lightweight Cap,On,Headwear,6757966708811,https://www.blacktoerunning.com/products/on-lightweight-cap,41163986305099,Cobalt,Cobalt,301.01209,50.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/301.01209-2.jpg?v=1732929585
56852611147,All,Nike Men's Sphere 4.0 Running Gloves,Nike,Gloves,6810090504267,https://www.blacktoerunning.com/products/nike-mens-sphere-4-0-running-gloves,39947132502091,Black Black & Silver / Small,Black Black & Silver / Small,N.100.2980.082.SL,32.0,CAD,https://www.blacktoerunning.com/cdn/shop/products/N.100.2980.082_1.jpg?v=1673808034
56852611147,All,BlackToe Unisex Classic Tee,BlackToe Running Inc.,Men's Tops,7232927563851,https://www.blacktoerunning.com/products/blacktoe-unisex-classic-tee,41061992071243,Cardinal & Red / Extra Small,Cardinal & Red / Extra Small,BTCC-CT-C&R-XS,45.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/BlackToeClassicTee-Cardinal_Red1.jpg?v=1728598572
56852611147,All,Asics Women's Seamless Long Sleeve Top,Asics,Women's Tops,7218512986187,https://www.blacktoerunning.com/products/asics-womens-seamless-long-sleeve-top,41032066138187,Bold Magenta & Blue Expanse / Extra Small,Bold Magenta & Blue Expanse / Extra Small,2012C392-501,80.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/AsicsWomen_sSeamlessLongSleeveTopBoldMagentaBlueExpanse1.jpg?v=1726714809
56852611147,All,Asics Women's GT-2000 13,Asics,Women's Shoes,7197892378699,https://www.blacktoerunning.com/products/asics-womens-gt-2000-13,41264429006923,Indigo Blue & Carrier Grey / 6,Indigo Blue & Carrier Grey / 6,1012B666-403,180.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/1012B666-403.jpg?v=1738016996
56852611147,All,Asics Men's GT-2000 13,Asics,Men's Shoes,7197911973963,https://www.blacktoerunning.com/products/asics-mens-gt-2000-13,40983392288843,Blue Expanse & Grey Blue / 8,Blue Expanse & Grey Blue / 8,1011B861-400,180.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/1011B861-400.jpg?v=1724294444
56852611147,All,On Men's Cloudboom Strike,On,Men's Shoes,7201036402763,https://www.blacktoerunning.com/products/on-mens-cloudboom-strike,40993159938123,White & Black / 8,White & Black / 8,3ME30480462,360.0,CAD,https://www.blacktoerunning.com/cdn/shop/files/3ME30480462-6.jpg?v=1745442451
